video_id,video_title,published_at,playlist_name,playlist_id,video_url,channel_title,views,likes,comments,duration,angry,disgust,fear,happy,sad,surprise,neutral,pct_with_face,brightness,mean_r,mean_g,mean_b,blurriness,title is plain,title is emotionally touching,title is exaggerated
EnhXwiPC3rE,New York City Lunch Crisis,2025-05-06 18:19:45+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=EnhXwiPC3rE,CaseyNeistat,550434,44188,2443,PT7M24S,10.805661,0.46085447,12.04575,16.147072,25.233765,3.4504092,31.85649,25.05399568034557,104.64013137074032,111.0975555986771,102.68725578203744,97.78663005084594,577.950023654869,0.503334641456604,0.2858099639415741,0.2108554095029831
Ud2BcD5NC2A,The IMPOSSIBLE Camera,2025-04-22 12:21:40+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=Ud2BcD5NC2A,CaseyNeistat,1207258,62164,2758,PT10M42S,15.128769,0.09661689,13.292705,11.115537,12.992996,1.8050188,45.56836,41.85351270553064,103.2450447587091,110.29955394400848,100.76632264288531,97.52065325397568,421.30409641350735,0.20796965062618256,0.044743988662958145,0.747286319732666
AjKGToaFDvA,the very WORST Nintendo Switch 2 review.,2025-04-04 17:30:56+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=AjKGToaFDvA,CaseyNeistat,1169680,47699,2229,PT6M30S,9.416555,0.33136263,17.386831,11.527529,23.790174,1.0614194,36.486126,32.186732186732186,97.7556580266346,115.10816499027436,90.08085086506962,91.72480303456868,773.0026581124374,0.6188529133796692,0.007422395516186953,0.3737247586250305
StMltAX0mp0,DO HARD THINGS,2024-11-14 18:49:01+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=StMltAX0mp0,CaseyNeistat,3049655,143601,4906,PT12M37S,12.134863,0.6647472,12.926915,19.81535,27.907738,2.106514,24.44387,23.44740177439797,88.8520125301454,94.95075188573792,86.22606578848931,86.36804875633715,403.4541356872113,0.3006272315979004,0.23981578648090363,0.4595569670200348
TUbIKg-lrow,New York City's Controversial Fire Hydrant Fish Pond,2024-09-23 15:29:37+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=TUbIKg-lrow,CaseyNeistat,1982683,79572,4107,PT7M,11.503931,0.47887102,18.817574,18.839653,20.653658,1.8093939,27.896921,26.25570776255708,103.50220283961188,110.05625339889332,101.80416910435692,95.03650811770676,768.1448081588741,0.35522696375846863,0.2512803077697754,0.393492728471756
h-vWRLGnTGg,the importance of picking a fight you'll never win,2024-03-20 20:10:44+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=h-vWRLGnTGg,CaseyNeistat,2014133,72954,3785,PT12M9S,10.370127,0.30375478,17.391975,14.863578,22.770658,0.9847508,33.31516,51.84210526315789,83.62528987344663,90.89641830569262,81.22239393731725,76.9132770696272,308.871208179773,0.6573526263237,0.08944295346736908,0.2532043755054474
9IiTdSnmS7E,Sisyphus and the Impossible Dream,2024-02-08 15:04:38+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=9IiTdSnmS7E,CaseyNeistat,3955335,285964,12253,PT11M59S,13.040967,2.18447,18.653044,16.073622,20.476336,2.2413607,27.330202,25.6,115.46574231481482,120.4359568460648,113.45013819444443,112.93741894097222,429.4754643794855,0.5264301300048828,0.2374567985534668,0.23611308634281158
UvkgmyfMPks,the thing no one will say about Apple Vision Pro,2024-02-03 18:08:18+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=UvkgmyfMPks,CaseyNeistat,7767422,278958,14905,PT10M37S,6.928013,0.49548334,16.293415,18.883091,20.58374,3.1698968,33.646362,40.21084337349398,89.84012440386546,98.76630629287986,88.0451462555953,75.65524592510668,453.156035222805,0.36308687925338745,0.13725076615810394,0.4996623396873474
lI_3AiV0CnI,Life Lessons from my 46 Year Old Wife,2024-01-31 18:43:23+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=lI_3AiV0CnI,CaseyNeistat,1350045,52919,1886,PT8M57S,9.533939,0.89189774,19.271872,11.636835,30.20817,2.835073,25.622215,51.60714285714286,94.5069730205233,94.6647033187624,95.92864885602678,86.92595248170883,190.44191561605487,0.4113197922706604,0.33133089542388916,0.2573493421077728
o2C35kWHPAA,My New Career as a Male Model and Professional Skateboarder,2023-11-04 14:34:00+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=o2C35kWHPAA,CaseyNeistat,1111110,57363,2649,PT9M52S,14.110521,0.76103467,10.452355,21.932198,13.912668,2.3438005,36.487423,35.980551053484604,102.18413562348054,107.2000602081645,100.73660543146724,96.46530346772016,383.6471234975074,0.44467562437057495,0.18517622351646423,0.37014809250831604
